experiment_no;language;energy-cores;energy-gpu;energy-pkg;energy-psys;total_energy;elapsed_time;accuracy;random_seed;net_energy
70;python;48,68;0,14;61,09;105,05;214.96;5.648036056;0.963658266;18;210.88227485745844
71;python;48,65;0,08;60,99;104,96;214.68;5.649583585;0.96223379;690;210.60115758450738
72;python;47,85;0,09;59,95;103,2;211.09;5.555716206;0.963922058;176;207.07892722471817
73;python;48,66;0,11;61,13;105,86;215.76;5.719326937;0.962937235;993;211.63080482167868
74;python;48,41;0,11;60,68;104,82;214.02;5.646214148;0.96398361;211;209.9435902244259
75;python;48,45;0,11;60,76;104,79;214.11;5.653685135;0.962954821;456;210.0281963793393
76;python;48,33;0,08;60,58;104,69;213.68;5.652587243;0.963605508;597;209.59898902686632
77;python;47,7;0,16;59,9;103,44;211.2;5.585820542;0.962541547;998;207.16719273035773
78;python;48,32;0,13;60,78;105,17;214.4;5.687709793;0.962356893;584;210.2936315213927
79;python;47,46;0,12;59,69;103,24;210.51;5.591125721;0.962752581;313;206.4733625384858
80;python;48,22;0,1;60,51;104,34;213.17;5.626248542;0.962954821;96;209.10800483735773
81;python;47,8;0,1;60,18;104,09;212.17;5.640306308;0.963649473;83;208.09785552079921
82;python;47,92;0,14;60,16;103,71;211.93;5.586219294;0.96309551;445;207.8969048424902
83;python;48,91;0,09;61,44;106,31;216.75;5.719379262;0.962972407;965;212.62076704448216
84;python;48,78;0,08;61,21;105,73;215.8;5.70853476;0.963368095;197;211.67859647369002
85;python;48,75;0,09;61,2;105,71;215.75;5.718837837;0.962576719;664;211.62115793829258
86;python;47,99;0,11;60,29;104,16;212.55;5.634874502;0.963227406;883;208.48177713384774
87;python;47,62;0,11;59,92;103,66;211.31;5.611827336;0.963376888;800;207.25841654750067
88;python;47,14;0,07;59,14;102,08;208.43;5.519590035;0.963165855;568;204.44500931667542
89;python;47,94;0,08;60,27;104,37;212.66;5.659797635;0.962427237;844;208.57378332413097
90;python;47,9;0,13;60,34;104,71;213.08;5.69383487;0.962989993;745;208.96920938593973
